Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
acute accent,,,,,,,,,,,,,,,,,,,,⠈,,⠘⠌,^/
acute triangle,,,,,,,,,,,,,,,,,,,,,,,
adjacent angles ,,,,,,,,,,,,,,,,,,,,,,,
alef,ℵ,,,,,⠯⠁,,⠠⠳,,,,⠘⠘⠁,,⠳,,⠻⠘⠁,,,,,,,
algebra of quartenions,,,,,,⠨⠨⠓,,,,,,⠨⠨⠓,,,,,,,,,,,
alternate exterior angles,,,,,,,,,,,,,,,,,,,,,,,
alternate interior angles,,,,,,,,,,,,,,,,,,,,,,,
amalgamation or coproduct,,,,⠸⠧,,,,,,,,,,,,,,,,,,,
"ampersand (and, logical product)",&,⠈⠯,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">p</mi><mo mathvariant=""normal"">&amp;</mo><mi mathvariant=""normal"">q</mi></math>",⠈⠯,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">p</mi><mo mathvariant=""normal"">&amp;</mo><mi mathvariant=""normal"">q</mi></math>",,,,,,,,,⠸⠢,,,,⠯,,,,,
amplitude,,,,,,,,,,,,,,,,,,,,,,,
angle,∠,⠸⠪, -,⠸⠪,,⠻⠪,,,,,,,,⠠⠮,,,,⠸⠪,,⠸⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2220;</mo><mi>A</mi><mi>B</mi><mi>C</mi></math>",⠻⠪,}{
angle with interior arc,∡,⠨⠸⠪, -,,,⠻⠪,,,,⠻⠪,,,,,,,,⠸⠪,,,,⠻⠸⠪,}_{
angle with interior clockwise arrow,,,,,,,,⠨⠜,,,,,,⠱⠠,,,,,,,,,
angle with interior counterclockwise arrow,,,,,,,,⠨⠱,,,,,,⠱⠄,,,,,,,,,
angstrom,,⠠⠘⠫⠁,,⠘⠁,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">8</mn><mo mathvariant=""italic"">Å</mo></math>",⠸⠘⠈⠁,,,,,,⠨⠁⠈⠕,,⠨⠡,,,,,,,,⠈⠠⠁," @,a"
anticlockwise contour integral,,,,,,,,,,,,,,,,,,,,,,⠐⠮⠈⠫⠢⠔⠕⠻,"""!@$59o}"
anticlockwise open circle arrow,,,,,,⠻⠐⠒,,,,,,,,,,,,,,,,⠻⠢⠔⠕,}59o
anticlockwise top semicircle arrow,,,,,,,,,,,,,,,,,,,,,,,
antilogarithm,, ,,⠫⠈⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>antilog</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠂⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>antilog</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠝⠞⠊⠇⠕⠛⠄,,,,,,,,,,,,,,,
,,,,,,,,⠁⠇⠕⠛⠄,,,,,,,,,,,,,,,
apostrophe,,⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">5</mn><mo mathvariant=""normal"">&prime;</mo><mi mathvariant=""italic"">s</mi><mo mathvariant=""normal"">.</mo></math>",,,⠠,,,,,,,,,,,,⠐,,,,,
arc,⌒,,,,,⠫⠁,,,,,,,,,,⠁⠗⠉,,,,,,,
arc concave downward,,,,,,,,,,,,⠈⠈⠒,,,,,,,,,,,
arc concave upward,,⠨⠸⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mrow><mi mathvariant=""italic"">A</mi><mi mathvariant=""italic"">B</mi></mrow><mo mathvariant=""normal"">⏜</mo></mover></math>",,,⠣,,⠈⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mrow><mi mathvariant=""italic"">z</mi></mrow><mo mathvariant=""normal"">⏜</mo></mover></math>",⠸⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>a</mi><mi>b</mi></mrow><mo>&#x23DC;</mo></mover></math>",⠈⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x23DC;</mo></mover><mspace linebreak=""newline""/></math>",⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x23DC;</mo></mover></math>",,,,,,,,
arccos (inverse cosine function),,,,⠫⠈⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccos</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠫⠂⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccos</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠄⠉⠕⠎⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccos</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,⠘⠨⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>arccos</mi><mo>(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo>)</mo></math>",,,,,⠁⠗⠉⠉⠕⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccos</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠫⠁⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccos</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,,,,,⠁⠗⠉⠉⠕⠎,,,,,,,,,,,
arccosec,,,,⠫⠈⠣,,⠫⠂⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccosec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,,,⠁⠗⠉⠉⠕⠎⠑⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccosec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,
arccosech,,,,⠫⠦⠣,,,,⠁⠗⠛⠄⠉⠕⠎⠑⠉⠓⠄,,,,,,,,,,,,,,,
arccot,,,,⠫⠈⠳,,⠫⠂⠳,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠄⠉⠕⠞⠛⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,⠘⠨⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>arccot</mi><mo>(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo>)</mo></math>",,,,,,,⠫⠁⠉⠞,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,,,,,⠁⠗⠉⠉⠕⠞⠁⠝,,,,,,,,,,,
arcosh,,,,⠫⠦⠉,,⠫⠂⠦⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcosh</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠛⠄⠉⠓⠄,,,,,,,,,,,,,,,
arcoth,,,,⠫⠦⠳,,⠫⠂⠦⠳,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcoth</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠛⠄⠉⠞⠓⠄,,,,,,,,,,,,,,,
arcsecant,,,,⠫⠈⠤,,⠫⠂⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠄⠎⠑⠉⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,,,,,,
arcsin,,,,⠫⠈⠎,,⠫⠂⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠎⠊⠝⠄,,,,⠘⠬,,,,⠁⠗⠉⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠁⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,⠁⠗⠉⠄⠎⠑⠝⠄,,,,⠁⠗⠉⠎⠊⠝,,,,,,,,,,,
arctan,,,,⠫⠈⠞,,,,⠁⠗⠉⠄⠞⠛⠄,,,,⠘⠮,,,,⠁⠗⠉⠞⠁⠝,,,,⠫⠁⠞,,,
,,,,,,,,,,,,⠁⠗⠉⠞⠁⠝,,,,,,,,,,,
argument,,,,⠫⠁⠗⠛,,⠫⠷,,,,,,,,,,,,,,,,,
arrow barbed at both ends,↔,,↔,,,,,⠐⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x2194;</mo></mover></math>",,,,,,,,,,,,,,
arrow barbed at left,,,←,,,⠐⠒,,⠐⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>z</mi><mo>&#x2190;</mo></mover></math>",,,,,,,,,,,⠐⠒,,,
arrow barbed at left and dotted at right,,,,,,,,,,,,,,,,,,,,,,,
arrow barbed at right (contracted form),,,,,,,,,,,,,,,,,,,,,,,
arrow barbed at right (uncontracted form),→,,→,,,⠒⠂,,⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>z</mi><mo>&#x2192;</mo></mover></math>",,,,,,,,,,,⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>|</mo><mover><mi>a</mi><mo>&#x2192;</mo></mover><mo>|</mo></math>",,
,,,,,,,,,,,,,,,,,,,,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x2192;</mo></mover></math>",,
