21,!,Exclamation mark,⠸⠖,⠖
21,!,Factorial,⠯,⠖
22,"""",Quotation mark,,⠠⠶
23,#,Number sign,⠨⠼,⠸⠹
24,$,Dollar sign,⠈⠎,⠈⠎
25,%,Percent sign,⠈⠴,⠨⠴
26,&,Ampersand,⠸⠯,⠈⠯
27,',Apostrophe,⠄,⠄
28,(,Left parenthesis,⠷,⠐⠣
29,),Right parenthesis,⠾,⠐⠜
002A,*,Asterisk,⠈⠼,⠐⠔
002B,+,Plus sign,⠬,⠐⠖
002D,-,Hyphen,⠸⠤,⠤
002E,.,Full stop,⠸⠲,⠼⠲
002F,/,Solidus,⠸⠌,⠸⠌
003A,:,Colon,⠸⠒,⠒
003B,;,Semicolon,⠸⠆,⠆
003C,<,Less-than sign,⠀⠐⠅⠀,⠈⠣
003D,=,Equals sign,⠀⠨⠅⠀,⠐⠶
003E,>,Greater-than sign,⠀⠨⠂⠀,⠈⠜
003F,?,Question mark,⠸⠦,⠦
40,@,Commercial at,⠈⠁,⠈⠁
005B,[,Left square bracket,⠈⠷,⠨⠣
005C,\,Reverse solidus,⠸⠡,⠸⠡
005D,],Right square bracket,⠈⠾,⠨⠜
005E,^,Circumflex accent,⠸⠣,⠈⠢
005F,_,Low line,,⠨⠤
007B,{,Left curly bracket,⠨⠷,⠸⠣
007C,|,Vertical line,⠡,⠸⠳
007D,},Right curly bracket,⠨⠾,⠸⠜
007E,~,Tilde,⠈⠱,⠈⠔
00A2,¢,Cent sign,⠈⠉,⠈⠉
00A3,£,Pound sterling,⠈⠇,⠈⠇
00A7,§,Section sign,⠈⠠⠎,⠘⠎
00A9,©,Copyright sign,⠷⠠⠉⠾,⠘⠉
00AC,¬,Not sign,,⠈⠹
00AE,®,Registered sign,⠷⠠r⠾,⠘⠗
00B0,°,Degree sign,⠘⠨⠡,⠘⠚
00B1,±,Plus-minus sign,⠬⠤,⠸⠖
00B6,¶,Pilcrow sign,⠈⠠⠏,⠘⠏
00B7,·,Middle dot,⠡,
00D7,×,Multiplication sign,⠈⠡,⠐⠦
00F7,÷,Division sign,⠨⠌,⠐⠌
391,Α,Greek capital letter alpha,⠨⠠⠁,⠠⠨⠁
392,Β,Greek capital letter beta ,⠨⠠⠃,⠠⠨⠃
393,Γ,Greek capital letter gamma,⠨⠠⠛,⠠⠨⠛
394,Δ,Greek capital letter delta,⠨⠠⠙,⠠⠨⠙
395,Ε,Greek capital letter epsilon,⠨⠠⠑,⠠⠨⠑
396,Ζ,Greek capital letter zeta,⠨⠠⠵,⠠⠨⠵
397,Η,Greek capital letter eta,⠨⠠⠱,⠠⠨⠱
398,Θ,Greek capital letter theta,⠨⠠⠹,⠠⠨⠹
399,Ι,Greek capital letter iota,⠨⠠⠊,⠠⠨⠊
039A,Κ,Greek capital letter kappa,⠨⠠⠅,⠠⠨⠅
039B,Λ,Greek capital letter lambda,⠨⠠⠇,⠠⠨⠇
039C,Μ,Greek capital letter mu,⠨⠠⠍,⠠⠨⠍
039D,Ν,Greek capital letter nu,⠨⠠⠝,⠠⠨⠝
039E,Ξ,Greek capital letter xi,⠨⠠⠭,⠠⠨⠭
039F,Ο,Greek capital letter omicron,⠨⠠⠕,⠠⠨⠕
03A0,Π,Greek capital letter pi,⠨⠠⠏,⠠⠨⠏
03A1,Ρ,Greek capital letter rho,⠨⠠⠗,⠠⠨⠗
03A3,Σ,Greek capital letter sigma,⠨⠠⠎,⠠⠨⠎
03A4,Τ,Greek capital letter tau,⠨⠠⠞,⠠⠨⠞
03A5,Υ,Greek capital letter upsilon,⠨⠠⠥,⠠⠨⠥
03A6,Φ,Greek capital letter phi,⠨⠠⠋,⠠⠨⠋
03A7,Χ,Greek capital letter chi,⠨⠠⠯,⠠⠨⠯
03A8,Ψ,Greek capital letter psi,⠨⠠⠽,⠠⠨⠽
03A9,Ω,Greek capital letter omega,⠨⠠⠺,⠠⠨⠺
03B1,α,Greek small letter alpha,⠨⠁,⠨⠁
03B2,β,Greek small letter beta,⠨⠃,⠨⠃
03B3,γ,Greek small letter gamma,⠨⠛,⠨⠛
03B4,δ,Greek small letter delta,⠨⠙,⠨⠙
03B5,ε,Greek small letter epsilon (alternative epsilon),⠨⠈⠑,⠨⠑
03B6,ζ,Greek small letter zeta,⠨⠵,⠨⠵
03B7,η,Greek small letter eta,⠨⠱,⠨⠱
03B8,θ,Greek small letter theta,⠨⠹,⠨⠹
03B9,ι,Greek small letter iota,⠨⠊,⠨⠊
03BA,κ,Greek small letter kappa,⠨⠅,⠨⠅
03BB,λ,Greek small letter lambda,⠨⠇,⠨⠇
03BC,μ,Greek small letter mu,⠨⠍,⠨⠍
03BD,ν,Greek small letter nu,⠨⠝,⠨⠝
03BE,ξ,Greek small letter xi,⠨⠭,⠨⠭
03BF,ο,Greek small letter omicron,⠨⠕,⠨⠕
03C0,π,Greek small letter pi,⠨⠏,⠨⠏
03C1,ρ,Greek small letter rho,⠨⠗,⠨⠗
03C2,ς,Greek small letter final sigma,⠨⠒,⠨⠎
03C3,σ,Greek small letter sigma,⠨⠎,⠨⠎
03C4,τ,Greek small letter tau,⠨⠞,⠨⠞
03C5,υ,Greek small letter upsilon,⠨⠥,⠨⠥
03C6,φ,Greek small letter phi (alternative phi),⠨⠈⠋,⠨⠋
03C7,χ,Greek small letter chi,⠨⠯,⠨⠯
03C8,ψ,Greek small letter psi,⠨⠽,⠨⠽
03C9,ω,Greek small letter omega,⠨⠺,⠨⠺
03D1,ϑ,Greek theta symbol,⠨⠈⠹,
03D5,ϕ,Greek phi symbol,⠨⠋,
03D6,ϖ,Greek pi symbol,⠨⠈⠏,
03F0,ϰ,Greek kappa symbol,⠨⠈⠅,
03F5,ϵ,Greek lunate epsilon symbol,⠨⠑,
2014,—,Em dash,⠤⠤,⠠⠤
2015,―,Horizontal bar,⠤⠤⠤⠤,⠐⠠⠤
2018,‘,Left single quotation mark,⠠⠦,⠠⠦
2019,’,Right single quotation mark,⠴⠠,⠠⠴
201C,“,Left double quotation mark,⠦,⠘⠦
201D,”,Right double quotation mark,⠴,⠘⠴
2020,†,Dagger,⠸⠻,⠈⠠⠹
2021,‡,Double dagger,⠸⠸⠻,⠈⠠⠻
2022,•,Bullet,⠔⠔,⠸⠲
2026,…,Ellipsis,⠄⠄⠄,
2032,′,Prime,⠄,⠶
2033,″,Double prime,⠄⠄,⠶⠶
210F,ℏ,Planck constant over two pi,⠈⠓,
2113,ℓ,Script small l (differs from 1d4c1: 4-56-123),⠈⠇,
211D,ℝ,Double-struck capital R (no nemeth double struck),,212B,Å,Angstrom sign,⠈⠠⠁,
2146,ⅆ,Double-struck italic small d,,
2147,ⅇ,Double-struck italic small e,,
2190,←,Leftwards arrow ,⠀⠫⠪⠒⠒⠀,⠳⠪
2191,↑,Upwards arrow,⠀⠫⠣⠒⠒⠕⠀,⠳⠬
2192,→,Rightwards arrow,⠀⠫⠕⠀,⠳⠕
2192,→,Rightwards arrow,⠀⠫⠒⠒⠕⠀,
2193,↓,Downwards arrow,⠀⠫⠩⠒⠒⠕⠀,⠳⠩
2194,↔,Left right arrow,⠀⠫⠪⠒⠒⠕⠀,⠰⠳⠺⠗⠕
2195,↕,Up down arrow,⠀⠫⠣⠪⠒⠒⠕⠀,
