=,"""7",003D,Equals
≠,"""7@:",2260,Not equal
<,@<,003C,Less than
≤,_@<,2264,Less than or equal to
>,@>,003E,Greater than
≥,_@>,2265,Greater than or equal to
≪,.@<,226A,Much less than
≫,.@>,226B,Much greater than
≮,@<@:,226E,Not less than
≯,@>@:,226F,Not greater than
≰,_@<@:,2270,Neither less than nor equal to
≱,_@>@:,2271,Neither greater than nor equal to
∝,"_""7",221D,Proportional to
≃,_9,2243,Approximately equal to (tilde over horizontal line)
≅,_9,2245,Approximately equal to (tilde over equals sign)
≈,^9,2248,Approximately equal (tilde over tilde)
≏,"^""7",224F,Equals with bump in top bar (difference between)
≑,".""7",2251,Geometrically equal to (equals dotted above and below)
≡,_=,2261,Equivalent to (three horizontal lines)
≢,_=@:,2262,Not identical to
∈,^e,2208,Element of (member of)
+,"""6",002B,Plus sign
−,"""-",2212,Minus sign
×,"""8",00D7,Multiplication sign (times)
÷,"""/",00F7,Division sign (divided by)
±,_6,00B1,Plus or minus
∓,_-,2213,Minus or plus
∗,"""9",2217,Asterisk operator
∘,"""0",2218,Ring operator
◦,"""0",25E6,White bullet
∼,@9,223C,Tilde operator
⋅,"""4",22C5,Dot operator
∧,@8,2227,Logical and
∨,@6,2228,Logical or
∩,.8,2229,Intersection
∪,.6,222A,Union
∖,_*,2216,Set minus
(,"""<",0028,Left parenthesis
),""">",0029,Right parenthesis
[,.<,005B,Left square bracket
],.>,005D,Right square bracket
{,_<,007B,Left curly bracket
},_>,007D,Right curly bracket
〈,@<,2329,Left angle bracket
〉,@>,232A,Right angle bracket
|,_\,007C,Vertical bar
,",""<",,Multiline left parenthesis
,","">",,Multiline right parenthesis
,",.<",,Multiline left square bracket
,",.>",,Multiline right square bracket
,",_<",,Multiline left curly bracket
,",_>",,Multiline right curly bracket
,",_\",,Multiline vertical bar
,+,,Visible space
!,6,21,Exclamation (factorial)
#,_?,23,Number sign (hash)
%,0,25,Percent sign
&,@&,26,Ampersand
*,"""9",002A,Asterisk
",",1,002C,comma
-,-,002D,Hyphen
.,4,002E,Full stop (decimal point)
/,_/,002F,Solidus (slash)
:,3,003A,Colon
;,2,003B,Semicolon
?,8,003F,Question mark
@,@a,0040,Commercial at sign
\,_*,005C,Backslash
^,@5,005E,"Caret (hat, up arrow)"
_,.-,005F,Low line (underscore)
~,@9,007E,Tilde (swung dash)
¢,@c,00A2,Cents sign
€,@e,20AC,Euro sign
₣,@f,20A3,French franc sign
£,@l,00A3,Pound sign
₦,@n,20A6,Naira sign
$,@s,0024,Dollar sign
¥,@y,00A5,Yen sign
¦,.\,00A6,Broken bar
¬,@?,00AC,Not sign
°,^j,00B0,Degree sign
†,"@,?",2020,Dagger
‡,"@,]",2021,Double dagger
…,444,2026,Ellipsis
′,7,2032,Prime sign
″,77,2033,Double prime sign
‴,777,2034,Triple prime sign
Å,",^$a",212B,Angstrom symbol
∀,^a,2200,For all
∂,@d,2202,Partial differential
∃,^5,2203,There exists
∄,^5@:,2204,There does not exist
∅,@j,2205,Empty set
